NEIGHBOURHOOD,STRUCTURE_TYPE,POPULATION
MILLER,No Response,0
MINCHAU,Single-detached house,2482
MINCHAU,Duplex/triplex/fourplex,248
MINCHAU,Row house,279
MINCHAU,Apartment with 5 or more stories,0
MINCHAU,Apartment with less than 5 stories,318
MINCHAU,Manufactured home/mobile home,0
MINCHAU,Rooming house/collective residence,0
MINCHAU,Hotel or motel,0
MINCHAU,Other residential,0
MINCHAU,No Response,0
MITCHELL INDUSTRIAL,Single-detached house,0
MITCHELL INDUSTRIAL,Duplex/triplex/fourplex,0
MITCHELL INDUSTRIAL,Row house,0
MITCHELL INDUSTRIAL,Apartment with 5 or more stories,0
MITCHELL INDUSTRIAL,Apartment with less than 5 stories,0
MITCHELL INDUSTRIAL,Manufactured home/mobile home,0
MITCHELL INDUSTRIAL,Rooming house/collective residence,0
MITCHELL INDUSTRIAL,Hotel or motel,0
MITCHELL INDUSTRIAL,Other residential,0
MITCHELL INDUSTRIAL,No Response,0
MONTROSE,Single-detached house,2449
MONTROSE,Duplex/triplex/fourplex,281
MONTROSE,Row house,81
MONTROSE,Apartment with 5 or more stories,0
MONTROSE,Apartment with less than 5 stories,340
MONTROSE,Manufactured home/mobile home,0
MONTROSE,Rooming house/collective residence,0
MONTROSE,Hotel or motel,2
MONTROSE,Other residential,0
MONTROSE,No Response,0
MORRIS INDUSTRIAL,Single-detached house,0
MORRIS INDUSTRIAL,Duplex/triplex/fourplex,0
MORRIS INDUSTRIAL,Row house,0
MORRIS INDUSTRIAL,Apartment with 5 or more stories,0
MORRIS INDUSTRIAL,Apartment with less than 5 stories,0
MORRIS INDUSTRIAL,Manufactured home/mobile home,0
MORRIS INDUSTRIAL,Rooming house/collective residence,0
MORRIS INDUSTRIAL,Hotel or motel,0
MORRIS INDUSTRIAL,Other residential,0
MORRIS INDUSTRIAL,No Response,0
NEWTON,Single-detached house,2637
NEWTON,Duplex/triplex/fourplex,141
NEWTON,Row house,0
NEWTON,Apartment with 5 or more stories,5
NEWTON,Apartment with less than 5 stories,202
NEWTON,Manufactured home/mobile home,0
NEWTON,Rooming house/collective residence,0
NEWTON,Hotel or motel,0
NEWTON,Other residential,0
NEWTON,No Response,0
NORTH GLENORA,Single-detached house,1672
NORTH GLENORA,Duplex/triplex/fourplex,33
NORTH GLENORA,Row house,136
NORTH GLENORA,Apartment with 5 or more stories,0
NORTH GLENORA,Apartment with less than 5 stories,78
NORTH GLENORA,Manufactured home/mobile home,0
NORTH GLENORA,Rooming house/collective residence,0
NORTH GLENORA,Hotel or motel,0
NORTH GLENORA,Other residential,0
NORTH GLENORA,No Response,0
NORTHMOUNT,Single-detached house,2561
NORTHMOUNT,Duplex/triplex/fourplex,0
NORTHMOUNT,Row house,656
NORTHMOUNT,Apartment with 5 or more stories,0
NORTHMOUNT,Apartment with less than 5 stories,119
NORTHMOUNT,Manufactured home/mobile home,0
NORTHMOUNT,Rooming house/collective residence,10
NORTHMOUNT,Hotel or motel,0
NORTHMOUNT,Other residential,0
NORTHMOUNT,No Response,0
NORWESTER INDUSTRIAL,Single-detached house,0
NORWESTER INDUSTRIAL,Duplex/triplex/fourplex,0
NORWESTER INDUSTRIAL,Row house,0
NORWESTER INDUSTRIAL,Apartment with 5 or more stories,0
NORWESTER INDUSTRIAL,Apartment with less than 5 stories,0
NORWESTER INDUSTRIAL,Manufactured home/mobile home,0
NORWESTER INDUSTRIAL,Rooming house/collective residence,0
NORWESTER INDUSTRIAL,Hotel or motel,0
NORWESTER INDUSTRIAL,Other residential,0
NORWESTER INDUSTRIAL,No Response,0
OGILVIE RIDGE,Single-detached house,910
OGILVIE RIDGE,Duplex/triplex/fourplex,126
OGILVIE RIDGE,Row house,0
OGILVIE RIDGE,Apartment with 5 or more stories,0
OGILVIE RIDGE,Apartment with less than 5 stories,0
OGILVIE RIDGE,Manufactured home/mobile home,0
OGILVIE RIDGE,Rooming house/collective residence,0
OGILVIE RIDGE,Hotel or motel,0
OGILVIE RIDGE,Other residential,0
OGILVIE RIDGE,No Response,0
OLESKIW,Single-detached house,2744
OLESKIW,Duplex/triplex/fourplex,320
OLESKIW,Row house,0
OLESKIW,Apartment with 5 or more stories,0
OLESKIW,Apartment with less than 5 stories,1
OLESKIW,Manufactured home/mobile home,0
OLESKIW,Rooming house/collective residence,0
OLESKIW,Hotel or motel,0
OLESKIW,Other residential,0
OLESKIW,No Response,0
OLIVER,Single-detached house,191
OLIVER,Duplex/triplex/fourplex,174
OLIVER,Row house,114
OLIVER,Apartment with 5 or more stories,11332
OLIVER,Apartment with less than 5 stories,5422
OLIVER,Manufactured home/mobile home,1
OLIVER,Rooming house/collective residence,373
OLIVER,Hotel or motel,2
OLIVER,Other residential,594
OLIVER,No Response,0
ORMSBY PLACE,Single-detached house,3356
ORMSBY PLACE,Duplex/triplex/fourplex,53
ORMSBY PLACE,Row house,1893
ORMSBY PLACE,Apartment with 5 or more stories,0
ORMSBY PLACE,Apartment with less than 5 stories,309
ORMSBY PLACE,Manufactured home/mobile home,0
ORMSBY PLACE,Rooming house/collective residence,0
ORMSBY PLACE,Hotel or motel,0
ORMSBY PLACE,Other residential,35
ORMSBY PLACE,No Response,0
OTTEWELL,Single-detached house,5087
OTTEWELL,Duplex/triplex/fourplex,272
OTTEWELL,Row house,0
OTTEWELL,Apartment with 5 or more stories,0
OTTEWELL,Apartment with less than 5 stories,483
OTTEWELL,Manufactured home/mobile home,0
OTTEWELL,Rooming house/collective residence,162
OTTEWELL,Hotel or motel,0
OTTEWELL,Other residential,15
OTTEWELL,No Response,0
OVERLANDERS,Single-detached house,949
OVERLANDERS,Duplex/triplex/fourplex,104
OVERLANDERS,Row house,944
OVERLANDERS,Apartment with 5 or more stories,2
OVERLANDERS,Apartment with less than 5 stories,860
OVERLANDERS,Manufactured home/mobile home,0
OVERLANDERS,Rooming house/collective residence,0
OVERLANDERS,Hotel or motel,0
OVERLANDERS,Other residential,0
OVERLANDERS,No Response,0
OXFORD,Single-detached house,2795
OXFORD,Duplex/triplex/fourplex,302
OXFORD,Row house,0
OXFORD,Apartment with 5 or more stories,0
OXFORD,Apartment with less than 5 stories,251
OXFORD,Manufactured home/mobile home,0
OXFORD,Rooming house/collective residence,0
OXFORD,Hotel or motel,0
OXFORD,Other residential,0
OXFORD,No Response,0
OZERNA,Single-detached house,3974
OZERNA,Duplex/triplex/fourplex,394
OZERNA,Row house,3
OZERNA,Apartment with 5 or more stories,0
OZERNA,Apartment with less than 5 stories,175
OZERNA,Manufactured home/mobile home,0
OZERNA,Rooming house/collective residence,0
OZERNA,Hotel or motel,0
OZERNA,Other residential,6
OZERNA,No Response,0
PAPASCHASE INDUSTRIAL,Single-detached house,0
PAPASCHASE INDUSTRIAL,Duplex/triplex/fourplex,0
PAPASCHASE INDUSTRIAL,Row house,0
PAPASCHASE INDUSTRIAL,Apartment with 5 or more stories,0
PAPASCHASE INDUSTRIAL,Apartment with less than 5 stories,0
PAPASCHASE INDUSTRIAL,Manufactured home/mobile home,0
PAPASCHASE INDUSTRIAL,Rooming house/collective residence,0
PAPASCHASE INDUSTRIAL,Hotel or motel,0
PAPASCHASE INDUSTRIAL,Other residential,0
PAPASCHASE INDUSTRIAL,No Response,0
PARKALLEN,Single-detached house,1913
PARKALLEN,Duplex/triplex/fourplex,56
PARKALLEN,Row house,6
PARKALLEN,Apartment with 5 or more stories,1
PARKALLEN,Apartment with less than 5 stories,289
PARKALLEN,Manufactured home/mobile home,0
PARKALLEN,Rooming house/collective residence,0
PARKALLEN,Hotel or motel,0
PARKALLEN,Other residential,0
PARKALLEN,No Response,0
PARKDALE,Single-detached house,2537
PARKDALE,Duplex/triplex/fourplex,177
PARKDALE,Row house,64
PARKDALE,Apartment with 5 or more stories,397
PARKDALE,Apartment with less than 5 stories,269
PARKDALE,Manufactured home/mobile home,0
PARKDALE,Rooming house/collective residence,0
PARKDALE,Hotel or motel,0
PARKDALE,Other residential,0
PARKDALE,No Response,0
PARKVIEW,Single-detached house,3362
PARKVIEW,Duplex/triplex/fourplex,0
PARKVIEW,Row house,20
PARKVIEW,Apartment with 5 or more stories,0
PARKVIEW,Apartment with less than 5 stories,0
PARKVIEW,Manufactured home/mobile home,0
PARKVIEW,Rooming house/collective residence,0
PARKVIEW,Hotel or motel,0
PARKVIEW,Other residential,0
PARKVIEW,No Response,0
PARSONS INDUSTRIAL,Single-detached house,0
PARSONS INDUSTRIAL,Duplex/triplex/fourplex,0
PARSONS INDUSTRIAL,Row house,0
PARSONS INDUSTRIAL,Apartment with 5 or more stories,0
PARSONS INDUSTRIAL,Apartment with less than 5 stories,0
PARSONS INDUSTRIAL,Manufactured home/mobile home,0
PARSONS INDUSTRIAL,Rooming house/collective residence,0
PARSONS INDUSTRIAL,Hotel or motel,0
PARSONS INDUSTRIAL,Other residential,0
PARSONS INDUSTRIAL,No Response,0
PATRICIA HEIGHTS,Single-detached house,895
PATRICIA HEIGHTS,Duplex/triplex/fourplex,0
PATRICIA HEIGHTS,Row house,2
PATRICIA HEIGHTS,Apartment with 5 or more stories,0
PATRICIA HEIGHTS,Apartment with less than 5 stories,896
PATRICIA HEIGHTS,Manufactured home/mobile home,0
PATRICIA HEIGHTS,Rooming house/collective residence,0
PATRICIA HEIGHTS,Hotel or motel,0
PATRICIA HEIGHTS,Other residential,0
PATRICIA HEIGHTS,No Response,0
PEMBINA,Single-detached house,1
PEMBINA,Duplex/triplex/fourplex,77
PEMBINA,Row house,0
PEMBINA,Apartment with 5 or more stories,0
PEMBINA,Apartment with less than 5 stories,376
PEMBINA,Manufactured home/mobile home,0
PEMBINA,Rooming house/collective residence,0
PEMBINA,Hotel or motel,0
PEMBINA,Other residential,0
PEMBINA,No Response,0
PLACE LARUE,Single-detached house,0
PLACE LARUE,Duplex/triplex/fourplex,0
PLACE LARUE,Row house,0
PLACE LARUE,Apartment with 5 or more stories,0
PLACE LARUE,Apartment with less than 5 stories,0
PLACE LARUE,Manufactured home/mobile home,0
PLACE LARUE,Rooming house/collective residence,0
PLACE LARUE,Hotel or motel,0
PLACE LARUE,Other residential,0
PLACE LARUE,No Response,0
PLEASANTVIEW,Single-detached house,2020
PLEASANTVIEW,Duplex/triplex/fourplex,358
PLEASANTVIEW,Row house,383
PLEASANTVIEW,Apartment with 5 or more stories,468
PLEASANTVIEW,Apartment with less than 5 stories,624
PLEASANTVIEW,Manufactured home/mobile home,0
PLEASANTVIEW,Rooming house/collective residence,0
PLEASANTVIEW,Hotel or motel,0
PLEASANTVIEW,Other residential,0
PLEASANTVIEW,No Response,0
POLLARD MEADOWS,Single-detached house,2393
POLLARD MEADOWS,Duplex/triplex/fourplex,339
POLLARD MEADOWS,Row house,983
POLLARD MEADOWS,Apartment with 5 or more stories,0
POLLARD MEADOWS,Apartment with less than 5 stories,765
POLLARD MEADOWS,Manufactured home/mobile home,0
POLLARD MEADOWS,Rooming house/collective residence,0
POLLARD MEADOWS,Hotel or motel,0
POLLARD MEADOWS,Other residential,0
POLLARD MEADOWS,No Response,0
POTTER GREENS,Single-detached house,1355
POTTER GREENS,Duplex/triplex/fourplex,168
POTTER GREENS,Row house,0
POTTER GREENS,Apartment with 5 or more stories,0
POTTER GREENS,Apartment with less than 5 stories,0
POTTER GREENS,Manufactured home/mobile home,0
POTTER GREENS,Rooming house/collective residence,0
POTTER GREENS,Hotel or motel,0
POTTER GREENS,Other residential,0
POTTER GREENS,No Response,0
POUNDMAKER INDUSTRIAL,Single-detached house,0
POUNDMAKER INDUSTRIAL,Duplex/triplex/fourplex,0
POUNDMAKER INDUSTRIAL,Row house,0
POUNDMAKER INDUSTRIAL,Apartment with 5 or more stories,0
POUNDMAKER INDUSTRIAL,Apartment with less than 5 stories,0
POUNDMAKER INDUSTRIAL,Manufactured home/mobile home,0
POUNDMAKER INDUSTRIAL,Rooming house/collective residence,0
POUNDMAKER INDUSTRIAL,Hotel or motel,0
POUNDMAKER INDUSTRIAL,Other residential,0
POUNDMAKER INDUSTRIAL,No Response,0
PRINCE CHARLES,Single-detached house,1020
PRINCE CHARLES,Duplex/triplex/fourplex,296
PRINCE CHARLES,Row house,5
PRINCE CHARLES,Apartment with 5 or more stories,36
PRINCE CHARLES,Apartment with less than 5 stories,6
PRINCE CHARLES,Manufactured home/mobile home,0
PRINCE CHARLES,Rooming house/collective residence,0
PRINCE CHARLES,Hotel or motel,0
PRINCE CHARLES,Other residential,0
PRINCE CHARLES,No Response,0
PRINCE RUPERT,Single-detached house,880
PRINCE RUPERT,Duplex/triplex/fourplex,80
PRINCE RUPERT,Row house,0
PRINCE RUPERT,Apartment with 5 or more stories,1
PRINCE RUPERT,Apartment with less than 5 stories,284
PRINCE RUPERT,Manufactured home/mobile home,0
PRINCE RUPERT,Rooming house/collective residence,16
PRINCE RUPERT,Hotel or motel,0
PRINCE RUPERT,Other residential,0
PRINCE RUPERT,No Response,0
PYLYPOW INDUSTRIAL,Single-detached house,0
PYLYPOW INDUSTRIAL,Duplex/triplex/fourplex,0
PYLYPOW INDUSTRIAL,Row house,0
PYLYPOW INDUSTRIAL,Apartment with 5 or more stories,0
PYLYPOW INDUSTRIAL,Apartment with less than 5 stories,0
PYLYPOW INDUSTRIAL,Manufactured home/mobile home,0
PYLYPOW INDUSTRIAL,Rooming house/collective residence,0
PYLYPOW INDUSTRIAL,Hotel or motel,0
PYLYPOW INDUSTRIAL,Other residential,0
PYLYPOW INDUSTRIAL,No Response,0
QUEEN ALEXANDRA,Single-detached house,1920
QUEEN ALEXANDRA,Duplex/triplex/fourplex,355
QUEEN ALEXANDRA,Row house,0
QUEEN ALEXANDRA,Apartment with 5 or more stories,218
QUEEN ALEXANDRA,Apartment with less than 5 stories,2134
QUEEN ALEXANDRA,Manufactured home/mobile home,0
QUEEN ALEXANDRA,Rooming house/collective residence,0
QUEEN ALEXANDRA,Hotel or motel,5
QUEEN ALEXANDRA,Other residential,0
QUEEN ALEXANDRA,No Response,0
QUEEN MARY PARK,Single-detached house,980
QUEEN MARY PARK,Duplex/triplex/fourplex,106
QUEEN MARY PARK,Row house,9
QUEEN MARY PARK,Apartment with 5 or more stories,218
QUEEN MARY PARK,Apartment with less than 5 stories,5200
QUEEN MARY PARK,Manufactured home/mobile home,0
QUEEN MARY PARK,Rooming house/collective residence,0
QUEEN MARY PARK,Hotel or motel,0
QUEEN MARY PARK,Other residential,0
QUEEN MARY PARK,No Response,0
QUESNELL HEIGHTS,Single-detached house,387
QUESNELL HEIGHTS,Duplex/triplex/fourplex,0
QUESNELL HEIGHTS,Row house,0
QUESNELL HEIGHTS,Apartment with 5 or more stories,0
QUESNELL HEIGHTS,Apartment with less than 5 stories,0
QUESNELL HEIGHTS,Manufactured home/mobile home,0
QUESNELL HEIGHTS,Rooming house/collective residence,0
QUESNELL HEIGHTS,Hotel or motel,0
QUESNELL HEIGHTS,Other residential,0
QUESNELL HEIGHTS,No Response,0
RAMSAY HEIGHTS,Single-detached house,2260
RAMSAY HEIGHTS,Duplex/triplex/fourplex,199
RAMSAY HEIGHTS,Row house,246
RAMSAY HEIGHTS,Apartment with 5 or more stories,0
RAMSAY HEIGHTS,Apartment with less than 5 stories,790
RAMSAY HEIGHTS,Manufactured home/mobile home,0
RAMSAY HEIGHTS,Rooming house/collective residence,0
RAMSAY HEIGHTS,Hotel or motel,0
RAMSAY HEIGHTS,Other residential,6
RAMSAY HEIGHTS,No Response,0
RHATIGAN RIDGE,Single-detached house,3088
RHATIGAN RIDGE,Duplex/triplex/fourplex,146
RHATIGAN RIDGE,Row house,80
RHATIGAN RIDGE,Apartment with 5 or more stories,0
RHATIGAN RIDGE,Apartment with less than 5 stories,0
RHATIGAN RIDGE,Manufactured home/mobile home,0
RHATIGAN RIDGE,Rooming house/collective residence,0
RHATIGAN RIDGE,Hotel or motel,0
RHATIGAN RIDGE,Other residential,0
RHATIGAN RIDGE,No Response,0
RICHFIELD,Single-detached house,1381
RICHFIELD,Duplex/triplex/fourplex,318
RICHFIELD,Row house,1289
RICHFIELD,Apartment with 5 or more stories,4
RICHFIELD,Apartment with less than 5 stories,354
RICHFIELD,Manufactured home/mobile home,0
RICHFIELD,Rooming house/collective residence,0
RICHFIELD,Hotel or motel,0
RICHFIELD,Other residential,0
RICHFIELD,No Response,0
RICHFORD,Single-detached house,436
RICHFORD,Duplex/triplex/fourplex,93
RICHFORD,Row house,0
RICHFORD,Apartment with 5 or more stories,0
RICHFORD,Apartment with less than 5 stories,0
RICHFORD,Manufactured home/mobile home,0
RICHFORD,Rooming house/collective residence,0
RICHFORD,Hotel or motel,0
RICHFORD,Other residential,0
RICHFORD,No Response,0
RIDEAU PARK,Single-detached house,724
RIDEAU PARK,Duplex/triplex/fourplex,23
RIDEAU PARK,Row house,0
RIDEAU PARK,Apartment with 5 or more stories,0
RIDEAU PARK,Apartment with less than 5 stories,1243
RIDEAU PARK,Manufactured home/mobile home,0
RIDEAU PARK,Rooming house/collective residence,0
RIDEAU PARK,Hotel or motel,0
RIDEAU PARK,Other residential,0
RIDEAU PARK,No Response,0
RIO TERRACE,Single-detached house,1333
RIO TERRACE,Duplex/triplex/fourplex,0
RIO TERRACE,Row house,0
RIO TERRACE,Apartment with 5 or more stories,0
RIO TERRACE,Apartment with less than 5 stories,0
RIO TERRACE,Manufactured home/mobile home,0
RIO TERRACE,Rooming house/collective residence,0
RIO TERRACE,Hotel or motel,0
RIO TERRACE,Other residential,0
RIO TERRACE,No Response,0
RITCHIE,Single-detached house,2592
RITCHIE,Duplex/triplex/fourplex,186
RITCHIE,Row house,57
RITCHIE,Apartment with 5 or more stories,186
RITCHIE,Apartment with less than 5 stories,732
RITCHIE,Manufactured home/mobile home,0
RITCHIE,Rooming house/collective residence,8
RITCHIE,Hotel or motel,0
RITCHIE,Other residential,0
RITCHIE,No Response,0
RIVER VALLEY CAMERON,Single-detached house,0
RIVER VALLEY CAMERON,Duplex/triplex/fourplex,0
RIVER VALLEY CAMERON,Row house,0
RIVER VALLEY CAMERON,Apartment with 5 or more stories,0
RIVER VALLEY CAMERON,Apartment with less than 5 stories,0
RIVER VALLEY CAMERON,Manufactured home/mobile home,0
RIVER VALLEY CAMERON,Rooming house/collective residence,0
RIVER VALLEY CAMERON,Hotel or motel,0
RIVER VALLEY CAMERON,Other residential,0
RIVER VALLEY CAMERON,No Response,0
RIVER VALLEY CAPITOL HILL,Single-detached house,0
RIVER VALLEY CAPITOL HILL,Duplex/triplex/fourplex,0
RIVER VALLEY CAPITOL HILL,Row house,0
RIVER VALLEY CAPITOL HILL,Apartment with 5 or more stories,0
RIVER VALLEY CAPITOL HILL,Apartment with less than 5 stories,0
RIVER VALLEY CAPITOL HILL,Manufactured home/mobile home,0
RIVER VALLEY CAPITOL HILL,Rooming house/collective residence,0
RIVER VALLEY CAPITOL HILL,Hotel or motel,0
RIVER VALLEY CAPITOL HILL,Other residential,0
RIVER VALLEY CAPITOL HILL,No Response,0
RIVER VALLEY GOLD BAR,Single-detached house,0
RIVER VALLEY GOLD BAR,Duplex/triplex/fourplex,0
RIVER VALLEY GOLD BAR,Row house,0
RIVER VALLEY GOLD BAR,Apartment with 5 or more stories,0
RIVER VALLEY GOLD BAR,Apartment with less than 5 stories,0
RIVER VALLEY GOLD BAR,Manufactured home/mobile home,0
RIVER VALLEY GOLD BAR,Rooming house/collective residence,0
RIVER VALLEY GOLD BAR,Hotel or motel,0
RIVER VALLEY GOLD BAR,Other residential,0
RIVER VALLEY GOLD BAR,No Response,0
RIVER VALLEY HERMITAGE,Single-detached house,0
RIVER VALLEY HERMITAGE,Duplex/triplex/fourplex,0
RIVER VALLEY HERMITAGE,Row house,0
RIVER VALLEY HERMITAGE,Apartment with 5 or more stories,0
RIVER VALLEY HERMITAGE,Apartment with less than 5 stories,0
RIVER VALLEY HERMITAGE,Manufactured home/mobile home,0
RIVER VALLEY HERMITAGE,Rooming house/collective residence,0
RIVER VALLEY HERMITAGE,Hotel or motel,0
RIVER VALLEY HERMITAGE,Other residential,0
RIVER VALLEY HERMITAGE,No Response,0
RIVER VALLEY LESSARD NORTH,Single-detached house,0
RIVER VALLEY LESSARD NORTH,Duplex/triplex/fourplex,0
RIVER VALLEY LESSARD NORTH,Row house,0
RIVER VALLEY LESSARD NORTH,Apartment with 5 or more stories,0
RIVER VALLEY LESSARD NORTH,Apartment with less than 5 stories,0
RIVER VALLEY LESSARD NORTH,Manufactured home/mobile home,0
RIVER VALLEY LESSARD NORTH,Rooming house/collective residence,0
RIVER VALLEY LESSARD NORTH,Hotel or motel,0
RIVER VALLEY LESSARD NORTH,Other residential,0
RIVER VALLEY LESSARD NORTH,No Response,0
RIVER VALLEY MAYFAIR,Single-detached house,0
RIVER VALLEY MAYFAIR,Duplex/triplex/fourplex,0
RIVER VALLEY MAYFAIR,Row house,0
RIVER VALLEY MAYFAIR,Apartment with 5 or more stories,0
RIVER VALLEY MAYFAIR,Apartment with less than 5 stories,0
RIVER VALLEY MAYFAIR,Manufactured home/mobile home,0
RIVER VALLEY MAYFAIR,Rooming house/collective residence,0
RIVER VALLEY MAYFAIR,Hotel or motel,0
RIVER VALLEY MAYFAIR,Other residential,0
RIVER VALLEY MAYFAIR,No Response,0
RIVER VALLEY OLESKIW,Single-detached house,0
RIVER VALLEY OLESKIW,Duplex/triplex/fourplex,0
RIVER VALLEY OLESKIW,Row house,0
RIVER VALLEY OLESKIW,Apartment with 5 or more stories,0
RIVER VALLEY OLESKIW,Apartment with less than 5 stories,0
RIVER VALLEY OLESKIW,Manufactured home/mobile home,0
RIVER VALLEY OLESKIW,Rooming house/collective residence,0
RIVER VALLEY OLESKIW,Hotel or motel,0
RIVER VALLEY OLESKIW,Other residential,0
RIVER VALLEY OLESKIW,No Response,0
RIVER VALLEY RIVERSIDE,Single-detached house,0
RIVER VALLEY RIVERSIDE,Duplex/triplex/fourplex,0
RIVER VALLEY RIVERSIDE,Row house,0
RIVER VALLEY RIVERSIDE,Apartment with 5 or more stories,0
RIVER VALLEY RIVERSIDE,Apartment with less than 5 stories,0
RIVER VALLEY RIVERSIDE,Manufactured home/mobile home,0
RIVER VALLEY RIVERSIDE,Rooming house/collective residence,0
RIVER VALLEY RIVERSIDE,Hotel or motel,0
RIVER VALLEY RIVERSIDE,Other residential,0
RIVER VALLEY RIVERSIDE,No Response,0
RIVER VALLEY RUNDLE,Single-detached house,0
RIVER VALLEY RUNDLE,Duplex/triplex/fourplex,0
RIVER VALLEY RUNDLE,Row house,0
RIVER VALLEY RUNDLE,Apartment with 5 or more stories,0
RIVER VALLEY RUNDLE,Apartment with less than 5 stories,0
RIVER VALLEY RUNDLE,Manufactured home/mobile home,0
RIVER VALLEY RUNDLE,Rooming house/collective residence,0
RIVER VALLEY RUNDLE,Hotel or motel,0
RIVER VALLEY RUNDLE,Other residential,0
RIVER VALLEY RUNDLE,No Response,0
RIVER VALLEY TERWILLEGAR,Single-detached house,0
RIVER VALLEY TERWILLEGAR,Duplex/triplex/fourplex,0
RIVER VALLEY TERWILLEGAR,Row house,0
RIVER VALLEY TERWILLEGAR,Apartment with 5 or more stories,0
RIVER VALLEY TERWILLEGAR,Apartment with less than 5 stories,0
RIVER VALLEY TERWILLEGAR,Manufactured home/mobile home,0
RIVER VALLEY TERWILLEGAR,Rooming house/collective residence,0
RIVER VALLEY TERWILLEGAR,Hotel or motel,0
RIVER VALLEY TERWILLEGAR,Other residential,0
RIVER VALLEY TERWILLEGAR,No Response,0
RIVER VALLEY WALTERDALE,Single-detached house,0
RIVER VALLEY WALTERDALE,Duplex/triplex/fourplex,0
RIVER VALLEY WALTERDALE,Row house,0
RIVER VALLEY WALTERDALE,Apartment with 5 or more stories,0
RIVER VALLEY WALTERDALE,Apartment with less than 5 stories,0
RIVER VALLEY WALTERDALE,Manufactured home/mobile home,0
RIVER VALLEY WALTERDALE,Rooming house/collective residence,0
RIVER VALLEY WALTERDALE,Hotel or motel,0
RIVER VALLEY WALTERDALE,Other residential,0
RIVER VALLEY WALTERDALE,No Response,0
RIVERDALE,Single-detached house,885
RIVERDALE,Duplex/triplex/fourplex,659
RIVERDALE,Row house,36
RIVERDALE,Apartment with 5 or more stories,134
RIVERDALE,Apartment with less than 5 stories,317
RIVERDALE,Manufactured home/mobile home,0
RIVERDALE,Rooming house/collective residence,0
RIVERDALE,Hotel or motel,0
RIVERDALE,Other residential,3
RIVERDALE,No Response,0
ROPER INDUSTRIAL,Single-detached house,0
ROPER INDUSTRIAL,Duplex/triplex/fourplex,0
ROPER INDUSTRIAL,Row house,0
ROPER INDUSTRIAL,Apartment with 5 or more stories,0
ROPER INDUSTRIAL,Apartment with less than 5 stories,0
ROPER INDUSTRIAL,Manufactured home/mobile home,0
ROPER INDUSTRIAL,Rooming house/collective residence,0
ROPER INDUSTRIAL,Hotel or motel,0
ROPER INDUSTRIAL,Other residential,0
ROPER INDUSTRIAL,No Response,0
ROSEDALE INDUSTRIAL,Single-detached house,0
ROSEDALE INDUSTRIAL,Duplex/triplex/fourplex,0
ROSEDALE INDUSTRIAL,Row house,0
ROSEDALE INDUSTRIAL,Apartment with 5 or more stories,0
ROSEDALE INDUSTRIAL,Apartment with less than 5 stories,0
ROSEDALE INDUSTRIAL,Manufactured home/mobile home,0
ROSEDALE INDUSTRIAL,Rooming house/collective residence,0
ROSEDALE INDUSTRIAL,Hotel or motel,0
ROSEDALE INDUSTRIAL,Other residential,0
ROSEDALE INDUSTRIAL,No Response,0
ROSSDALE,Single-detached house,401
ROSSDALE,Duplex/triplex/fourplex,28
ROSSDALE,Row house,96
ROSSDALE,Apartment with 5 or more stories,111
ROSSDALE,Apartment with less than 5 stories,223
ROSSDALE,Manufactured home/mobile home,0
ROSSDALE,Rooming house/collective residence,0
ROSSDALE,Hotel or motel,0
ROSSDALE,Other residential,0
ROSSDALE,No Response,0
ROSSLYN,Single-detached house,2154
ROSSLYN,Duplex/triplex/fourplex,360
ROSSLYN,Row house,134
ROSSLYN,Apartment with 5 or more stories,0
ROSSLYN,Apartment with less than 5 stories,0
ROSSLYN,Manufactured home/mobile home,0
ROSSLYN,Rooming house/collective residence,259
ROSSLYN,Hotel or motel,0
ROSSLYN,Other residential,0
ROSSLYN,No Response,0
ROYAL GARDENS,Single-detached house,1575
ROYAL GARDENS,Duplex/triplex/fourplex,152
ROYAL GARDENS,Row house,871
ROYAL GARDENS,Apartment with 5 or more stories,357
ROYAL GARDENS,Apartment with less than 5 stories,595
ROYAL GARDENS,Manufactured home/mobile home,0
ROYAL GARDENS,Rooming house/collective residence,0
ROYAL GARDENS,Hotel or motel,0
ROYAL GARDENS,Other residential,0
ROYAL GARDENS,No Response,0
RUNDLE HEIGHTS,Single-detached house,1189
RUNDLE HEIGHTS,Duplex/triplex/fourplex,277
RUNDLE HEIGHTS,Row house,1354
RUNDLE HEIGHTS,Apartment with 5 or more stories,3
RUNDLE HEIGHTS,Apartment with less than 5 stories,574
RUNDLE HEIGHTS,Manufactured home/mobile home,0
RUNDLE HEIGHTS,Rooming house/collective residence,8
RUNDLE HEIGHTS,Hotel or motel,0
RUNDLE HEIGHTS,Other residential,0
RUNDLE HEIGHTS,No Response,0
RURAL NORTH EAST HORSE HILL,Single-detached house,595
RURAL NORTH EAST HORSE HILL,Duplex/triplex/fourplex,0
RURAL NORTH EAST HORSE HILL,Row house,0
RURAL NORTH EAST HORSE HILL,Apartment with 5 or more stories,0
RURAL NORTH EAST HORSE HILL,Apartment with less than 5 stories,0
RURAL NORTH EAST HORSE HILL,Manufactured home/mobile home,26
RURAL NORTH EAST HORSE HILL,Rooming house/collective residence,0
RURAL NORTH EAST HORSE HILL,Hotel or motel,0
RURAL NORTH EAST HORSE HILL,Other residential,0
RURAL NORTH EAST HORSE HILL,No Response,0
